# This inventory intentionally excludes itself.
path	bytes
AMBULANCE_V5_REPOSITORY_GUIDE.md	8996
ambulance_v5/.gitignore	244
ambulance_v5/AMBULANCE_READ_ME_FIRST.md	1526
ambulance_v5/README.md	275
ambulance_v5/ambulance_checkpoint.py	16537
ambulance_v5/ambulance_curriculum.py	1368
ambulance_v5/ambulance_emergency.py	35916
ambulance_v5/ambulance_multiagent_worker.py	58135
ambulance_v5/ambulance_native_maxpressure_benchmark.patch	17260
ambulance_v5/ambulance_system.py	51699
ambulance_v5/ambulance_v5_19_5_4_split_lock.json	2795
ambulance_v5/ambulance_v5_19_5_4_split_lock_phase32.json	10481
ambulance_v5/ambulance_v5_19train_production_progress.json	259
ambulance_v5/ambulance_v5_base_diagnostic_progress.json	250
ambulance_v5/ambulance_v5_emergency_only_shield_probe_progress.json	250
ambulance_v5/ambulance_v5_exit_shield_ablation_progress.json	250
ambulance_v5/ambulance_v5_guarded_fallback_probe_progress.json	250
ambulance_v5/ambulance_v5_phase_capacity_32_patch.json	7142
ambulance_v5/ambulance_v5_recovery_base_postpatch_progress.json	249
ambulance_v5/ambulance_v5_smoke_progress.json	249
ambulance_v5/ambulance_v5_teacher_recovery_postpatch_progress.json	250
ambulance_v5/ambulance_v5_teacher_shield_liveness_progress.json	250
ambulance_v5/analyze_ambulance_native_maxpressure.py	20546
ambulance_v5/checkpoint_contract.py	11390
ambulance_v5/compare_fixed_vs_single_vs_all_model_realistic.py	95327
ambulance_v5/docs/AMBULANCE_TRAINING.md	16370
ambulance_v5/docs/AMBULANCE_V5_RELEASE_NOTES.md	3038
ambulance_v5/docs/GITHUB_RELEASE_NOTES.md	991
ambulance_v5/docs/MAP_AGNOSTIC_TRAINING.md	15186
ambulance_v5/docs/PROVENANCE.md	1621
ambulance_v5/docs/REVIEWED_SOURCE_README.md	2017
ambulance_v5/evaluate_ambulance_system.py	57005
ambulance_v5/fixed_demand.py	4148
ambulance_v5/generate_fixed_demand.py	6933
ambulance_v5/generate_fixed_demand_bank.py	12683
ambulance_v5/generate_map_corpus.py	10207
ambulance_v5/generate_training_demand_bank.py	7763
ambulance_v5/manifests/RELEASE_ASSET_CONTENTS.txt	393331
ambulance_v5/manifests/RELEASE_ASSET_MANIFEST.tsv	804
ambulance_v5/manifests/RELEASE_ASSET_SHA256SUMS.txt	729
ambulance_v5/manifests/demands/training/manifest.json	245526
ambulance_v5/manifests/demands/training/manifest_19train_only.json	203166
ambulance_v5/manifests/demands/training/manifest_4test_reserved_DO_NOT_TRAIN.json	42600
ambulance_v5/manifests/demands/validation/manifest.json	18305
ambulance_v5/manifests/evaluation_inputs/generated_test_maps/manifest.json	1613
ambulance_v5/manifests/maps/manifest.json	19584
ambulance_v5/manifests/maps/manifest_ambulance_v5_19train_5validation_4test.json	19580
ambulance_v5/map_agnostic_multiagent_worker.py	30494
ambulance_v5/map_agnostic_policy.py	11666
ambulance_v5/map_agnostic_tls.py	45143
ambulance_v5/map_corpus_regions.json	4093
ambulance_v5/map_corpus_train_validation_v5.json	6573
ambulance_v5/models/README.md	532
ambulance_v5/models/map_agnostic_emergency_v5_19train_production_contract.json	4112
ambulance_v5/monitor_ambulance_training.py	3879
ambulance_v5/realistic_all_intersections_fixed_cycle.py	322818
ambulance_v5/requirements-dev.txt	33
ambulance_v5/requirements.txt	149
ambulance_v5/results/final_test/RESULT_SHA256SUMS	584
ambulance_v5/results/final_test/RUN_CONFIGURATION.txt	1292
ambulance_v5/results/final_test/analysis.log	3304
ambulance_v5/results/final_test/benchmark_summary.txt	2986
ambulance_v5/results/final_test/demand_preparation.log	130
ambulance_v5/results/final_test/robustness_summary.json	9196
ambulance_v5/results/final_test/smoke.json	40445
ambulance_v5/results/final_test/smoke_demand_manifest.json	811
ambulance_v5/results/final_test/statistical_summary.csv	150922
ambulance_v5/results/final_test/status.txt	43
ambulance_v5/run_ambulance_native_maxpressure_benchmark.sh	17208
ambulance_v5/safe_residual_controller.py	12831
ambulance_v5/tests/test_ambulance_checkpoint.py	6408
ambulance_v5/tests/test_ambulance_curriculum.py	1264
ambulance_v5/tests/test_ambulance_emergency.py	12662
ambulance_v5/tests/test_ambulance_evaluation.py	7893
ambulance_v5/tests/test_ambulance_recovery_accounting.py	3833
ambulance_v5/tests/test_ambulance_system.py	14205
ambulance_v5/tests/test_map_agnostic_policy.py	3095
ambulance_v5/tests/test_map_agnostic_tls.py	9428
ambulance_v5/tests/test_multiagent_ppo.py	4107
ambulance_v5/tests/test_multimap_sampling.py	1980
ambulance_v5/tests/test_native_phase_catalog.py	7793
ambulance_v5/tests/test_safe_residual_controller.py	2306
ambulance_v5/traffic_rl_map_agnostic_env.py	14740
ambulance_v5/train_ambulance_override.py	68672
ambulance_v5/train_ambulance_override_exit_shield_ablation.py	64866
ambulance_v5/train_ambulance_override_shield_liveness.py	64833
ambulance_v5/train_ambulance_override_smoke_diagnostic.py	64813
ambulance_v5/train_map_agnostic_multiagent.py	47150
ambulance_v5/train_map_agnostic_multimap.py	19899
ambulance_v5/validate_controller_promotion.py	14828
